time,phoneme,F1,F2,F3
0.3747349944930181,,1140.0784192413257,2519.8089906714135,3659.3137255090005
0.8001024787819523,a,632.8996458669787,1419.5927111836393,1876.0509840922678
0.8957416261742381,,414.7797585397918,1603.0448584449118,2325.5317336576777
0.9664663738256765,e,347.9256937678322,1719.7188133262698,2493.853004226183
1.5144303466147742,,1213.6464307734193,2368.7766143457043,3530.5375361493016
2.083290267573615,a,675.6646599772522,1589.4337987192473,2357.0185894480805
2.6795529225784738,,1022.0349617299862,2227.456978679387,3069.906484702565
3.275815577583332,a,607.2060339448823,1583.6964351741603,2360.948421222216
3.3610067508907466,,416.647411542806,1570.4671991376601,2474.5758708745007
3.4341425694848473,e,386.5198327419547,1630.7326786033275,2442.282306776968
17.72967653324229,,1073.458759124174,2352.8005207476026,3482.4671966829965
32.01491905536777,u,280.65456940340226,1114.2818033443436,2696.2342872523222
32.09787916132804,,253.7062224573364,1426.3134999693361,2684.437362346417
32.186482811911446,u,287.2069435729407,1198.6468700142716,2613.0532877241653
32.66509163773294,,1635.3020955284364,2696.4482741864963,3972.597921167345
33.15086871446877,u,272.40098233569455,1190.927545721164,2654.4144352161948
33.23184776689865,,231.56248830302587,1543.0510237199974,2636.195877481489
33.30771246933999,u,297.8134733039474,1342.550650666327,2687.5873260801704
33.69717300930998,,458.9106465558409,1645.8151552715185,2748.068338583841
34.09978005149412,u,270.6646518231745,1069.3455175691454,2567.1007063986904
34.20198509052819,,261.6047379450581,1395.8076398363482,2663.9445668504563
34.29502691916609,u,268.85079062638886,1563.919247981497,2568.948674117129
61.08955901347167,,1050.5130458297679,1665.9811856671279,2660.0174738745504
87.88539052304357,u,344.62426856425117,1390.8140284038811,2631.199110117749
88.41337760598272,,944.5683916480786,2248.1290054791757,3109.592922145789
88.9560721082428,u,279.33795704058616,1412.7003105255485,2590.1182428865413
99.40216228042823,,263.2783901687733,1543.0163841424512,3294.750326736288
109.84801302950842,a,743.1565693920966,1587.0101762282313,2179.4908605459655
110.31144748425456,,592.126337334839,1925.246939577549,2742.0031280779112
110.78593701563267,a,664.3951243913583,1552.6535887434727,2215.0997417999274
111.21604341461457,,384.3873486959342,1460.2312972399213,2286.2239204301245
111.64708590821736,a,572.5749687875198,1524.4048521657262,2359.737791179421
123.38075874186448,,358.3554824682553,1397.4881213176063,2741.1764756599523
135.0919384704839,a,603.1170170942552,1536.5595925624893,2310.024976904947
135.6221457909927,,262.8630004988425,1532.280158090389,2569.1630351296058
136.15992356877047,a,588.4131785096467,1576.3313239208392,2273.090978534303
136.6686235254613,,1035.7155416653272,2072.577184624759,3283.727240728905
137.1624008356684,a,502.5456239126789,1629.2090107012036,2093.250414395608
138.39026660251375,,1527.9269258701866,2137.3964895417243,3534.8943467079794
139.62151849613304,a,508.52565332376474,1606.6117001683797,2166.873229419696
140.15979023711904,,1140.13034992297,2073.0646118846207,2810.5544299792327
140.70088375041666,a,584.2103807070888,1598.1851752176865,2363.220505635582
141.10970224805146,,797.2065794127119,1894.6171334236797,3166.249713964615
141.51964945461089,a,506.07312069577483,1577.0653951985119,2269.841008137909
152.48121407733768,,321.2385359565538,1201.1983766197632,2677.290867125773
163.4540330425432,a,524.8993985134296,1594.0245862105198,2252.7161982415273
163.9867809504587,,1269.7895920467217,2461.300246487637,3437.883960030733
164.520114283792,a,514.6433079288175,1535.9443824638342,2377.033628715216
164.91389688528471,,985.7274153409555,2057.0791197729504,3204.457748246906
165.3005635519514,a,514.1440940974105,1629.9679384861872,2290.2014663567024
178.91981859410424,,541.9041073436594,1526.835928311383,2821.5190699557966
192.51257011550524,ə,443.84975349302084,1792.8212979421473,2739.7965159469095
192.59887947886708,,321.4807583605123,1118.0411230623733,2620.5702438270587
192.7012520601869,a,577.5498664040559,1647.997736582918,2263.3588569143444
192.80769627826373,,363.66624177827526,1615.636342404769,2582.848244921322
192.9222837698547,ɩ,264.5549530687546,1787.3818035281956,2685.421359688859
193.33790221179163,,1194.545374995844,1932.938606693559,3054.1755362369213
193.74152395081325,ə,368.0192460682296,2152.562826228994,2644.6315006309296
193.82528333552943,,374.23490072795863,2272.8711460525274,2898.31742041863
193.91522279922242,a,648.7396176350653,1700.2567127487112,2511.218889412296
194.03271860278267,,346.0181336899873,1140.2920591908446,2636.917326693775
194.14439778240427,ɩ,302.244101751254,2041.279741159884,3098.1031410890932
194.47683411124635,,1343.2830999588662,2085.0839176645845,3080.033694368138
194.7976371922112,ə,447.71765346673226,1750.8807081080308,2418.5116833537145
194.88139657692741,,347.3115657257571,1811.1259881352273,2837.3405565919284
194.98900411979199,a,641.1572931650366,1664.9898212217975,2563.231194216253
195.0942850130811,,429.9211492639107,1689.7081165360592,2676.5715727280135
195.18037104737277,i,255.82005541712695,1610.0361348785211,2547.4964438127995
228.6492672288732,,1052.110472055542,2311.912784304004,3420.7638468957
262.1242750305596,ə,340.72911000279066,1583.01518773376,2517.5211397879402
262.23312513462776,,288.6537428293654,1192.6393042609084,2621.889050344788
262.3493308489135,a,594.025512914688,1576.2944519079513,2428.3667175553533
262.49631953387086,,226.69186392418675,1425.1689176858276,2550.1051626436015
262.63330375336,i,208.03462260113167,1850.338575115296,2945.681148512784
263.0631939835713,,228.654516896447,1598.4766513262039,2910.2867298507144
263.495392936583,ə,370.73948900938757,1743.6490552739367,2553.890337032924
263.60236375966724,,283.4328663306357,1149.9357019589522,2624.911377210373
263.70933458275147,a,576.2779769607362,1592.8648929766655,2565.1867179124597
263.8493970993077,,313.39109134888184,1499.9811249266543,2654.894682680454
263.9979249327987,i,194.6659968290098,1998.701524096256,2367.0492473195563
294.516268723401,,493.4983301055769,1153.5069775282004,2542.9066663340677
325.03449280245076,a,646.0702287387599,1709.3320090341067,2410.2864896272654
325.51699718691964,,1084.9589647811028,2332.80451290101,2886.184289555961
326.0112978213735,a,629.2005306090807,1654.3372083137567,2306.277348080441
326.46880725832943,,1090.4615810962428,2308.262086253897,2937.1363213192367
326.9118058200514,a,645.7939755400299,1732.451605205215,2399.1027385169905
336.79916577836786,,353.57817754756866,2216.6838850957056,2985.924116387274
346.6922523955849,a,624.306698253349,1629.403251648227,2123.415956887097
347.16460284022446,,1194.089915643033,2280.8042068109185,3398.522350050485
347.64092355200387,a,596.0016675497128,1594.9842112207966,2371.6574645012424
348.13166991592954,,1217.5436192345694,2438.265987425299,3501.515652969331
348.605168963093,a,527.4053785274818,1695.4322328271317,2546.3687626951623
356.6294594103515,,345.59602243353606,1613.9021671224045,2602.389554808771
364.65525842461454,a,757.8810961830042,1547.878392631602,2704.44760334695
364.7595360609484,,708.2508783498221,1575.7970226784114,2334.2476087643972
364.88304937777104,a,728.2962899518983,1592.4747407023401,3002.89711042801
365.26071821198417,,1136.0240955622735,1285.4178933580065,2202.327578047874
365.630892858626,a,690.0461515540718,1505.3570003027419,3068.2926971656334
365.75211179188364,,778.465064867477,1647.1664061954984,2695.4587944412856
365.8682087983839,a,734.6346860756306,1606.3646253067152,2963.5641309567222
366.2175158701868,,781.9564445169874,1763.2147700816497,2690.811748299474
366.574640619672,a,865.4482437933588,1545.0983680764925,2900.8957146087564
